Comments,SCHOOL NAME,FIELD,Grande Ecole or Ecole Spécialisée,PROGRAM NAME,SPECIALISATION,INTAKE,LEVEL OF ENTRY,CITY,PRICE,LENGHT,LANGUAGE,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Cultural & Arts Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Data Management in Corporate Finance,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Data Management in Corporate Finance,,Fall,BAC+4,Paris,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Data Science for Marketing,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Data Science for Marketing,,Fall,BAC+4,Paris,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Digital Business & Data Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Digital Business & Data Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Digital Marketing,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Digital Marketing,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Entrepreneurship & Innovation for Impact,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Entrepreneurship & Innovation for Impact,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
CLOSED,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Financial Analysis and Investment Management ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
CLOSED,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Financial Analysis and Investment Management ,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Financial Markets and Sustainable Investments,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Financial Markets and Sustainable Investments,,Fall,BAC+4,Paris,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Food & Agribusiness Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Food & Agribusiness Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in International Management & Business,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in International Management & Business,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Management for Sustainable Business,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Management for Sustainable Business,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Management Control & Sustainability Performance,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Management Control & Sustainability Performance,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Public Policy and International Cooperation,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Public Policy and International Cooperation,,Fall,BAC+4,Paris,19400,1,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Responsible Procurement and Supply Chain Management ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,,,,,
,Audencia Business School,Business School  📈,Grande Ecole 👑,MSc in Responsible Procurement and Supply Chain Management ,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,,,,,
